Course_Name,Company_Name,Skills,Ratings,Reviews,Difficulty,Type_Of_Certificate,Duration,combined_text,processed_text,difficulty_encoded,certificate_encoded
career success,"university of california, irvine","leadership and management, professional development, strategy and operations, business communication, adaptability, business analysis, communication, decision making, project management, people management, critical thinking, collaboration, customer relationship management, strategy, planning, business development, problem solving, accounting, change management, financial accounting, leadership development, organizational development, entrepreneurship, business research, cost accounting, finance, financial management, general accounting, generally accepted accounting principles (gaap), negotiation, business psychology, financial analysis, writing, benefits, contract management, entrepreneurial finance, statistical analysis, data visualization software, marketing, scrum (software development), user experience, estimation",4.6,(42K reviews),beginner,Specialization,1 - 3 Months,"career success leadership and management, professional development, strategy and operations, business communication, adaptability, business analysis, communication, decision making, project management, people management, critical thinking, collaboration, customer relationship management, strategy, planning, business development, problem solving, accounting, change management, financial accounting, leadership development, organizational development, entrepreneurship, business research, cost accounting, finance, financial management, general accounting, generally accepted accounting principles (gaap), negotiation, business psychology, financial analysis, writing, benefits, contract management, entrepreneurial finance, statistical analysis, data visualization software, marketing, scrum (software development), user experience, estimation leadership and management, professional development, strategy and operations, business communication, adaptability, business analysis, communication, decision making, project management, people management, critical thinking, collaboration, customer relationship management, strategy, planning, business development, problem solving, accounting, change management, financial accounting, leadership development, organizational development, entrepreneurship, business research, cost accounting, finance, financial management, general accounting, generally accepted accounting principles (gaap), negotiation, business psychology, financial analysis, writing, benefits, contract management, entrepreneurial finance, statistical analysis, data visualization software, marketing, scrum (software development), user experience, estimation leadership and management, professional development, strategy and operations, business communication, adaptability, business analysis, communication, decision making, project management, people management, critical thinking, collaboration, customer relationship management, strategy, planning, business development, problem solving, accounting, change management, financial accounting, leadership development, organizational development, entrepreneurship, business research, cost accounting, finance, financial management, general accounting, generally accepted accounting principles (gaap), negotiation, business psychology, financial analysis, writing, benefits, contract management, entrepreneurial finance, statistical analysis, data visualization software, marketing, scrum (software development), user experience, estimation beginner Specialization university of california, irvine 1 - 3 Months",career success leadership management professional development strategy operation business communication adaptability business analysis communication decision making project management people management critical thinking collaboration customer relationship management strategy planning business development problem solving accounting change management financial accounting leadership development organizational development entrepreneurship business research cost accounting finance financial management general accounting generally accepted accounting principle gaap negotiation business psychology financial analysis writing benefit contract management entrepreneurial finance statistical analysis data visualization software marketing scrum software development user experience estimation leadership management professional development strategy operation business communication adaptability business analysis communication decision making project management people management critical thinking collaboration customer relationship management strategy planning business development problem solving accounting change management financial accounting leadership development organizational development entrepreneurship business research cost accounting finance financial management general accounting generally accepted accounting principle gaap negotiation business psychology financial analysis writing benefit contract management entrepreneurial finance statistical analysis data visualization software marketing scrum software development user experience estimation leadership management professional development strategy operation business communication adaptability business analysis communication decision making project management people management critical thinking collaboration customer relationship management strategy planning business development problem solving accounting change management financial accounting leadership development organizational development entrepreneurship business research cost accounting finance financial management general accounting generally accepted accounting principle gaap negotiation business psychology financial analysis writing benefit contract management entrepreneurial finance statistical analysis data visualization software marketing scrum software development user experience estimation beginner specialization university california irvine month,1,3
connected leadership,yale university,"leadership and management, change management, people management, process analysis",4.8,(272 reviews),beginner,Course,1 - 4 Weeks,"connected leadership leadership and management, change management, people management, process analysis leadership and management, change management, people management, process analysis leadership and management, change management, people management, process analysis beginner Course yale university 1 - 4 Weeks",connected leadership leadership management change management people management process analysis leadership management change management people management process analysis leadership management change management people management process analysis beginner course yale university week,1,0
"assets, threats, and vulnerabilities",google,"cryptography, linux",4.8,(1.2K reviews),intermediate,Specialization,3 - 6 Months,"assets, threats, and vulnerabilities cryptography, linux cryptography, linux cryptography, linux intermediate Specialization google 3 - 6 Months",asset threat vulnerability cryptography linux cryptography linux cryptography linux intermediate specialization google month,2,3
tableau business intelligence analyst,tableau learning partner,"business analysis, data analysis, data architecture, data management, data visualization, interactive data visualization, project management, tableau software",4.8,(154 reviews),beginner,Course,1 - 3 Months,"tableau business intelligence analyst business analysis, data analysis, data architecture, data management, data visualization, interactive data visualization, project management, tableau software business analysis, data analysis, data architecture, data management, data visualization, interactive data visualization, project management, tableau software business analysis, data analysis, data architecture, data management, data visualization, interactive data visualization, project management, tableau software beginner Course tableau learning partner 1 - 3 Months",tableau business intelligence analyst business analysis data analysis data architecture data management data visualization interactive data visualization project management tableau software business analysis data analysis data architecture data management data visualization interactive data visualization project management tableau software business analysis data analysis data architecture data management data visualization interactive data visualization project management tableau software beginner course tableau learning partner month,1,0
"improving deep neural networks: hyperparameter tuning, regularization and optimization",deeplearning.ai,"applied machine learning, deep learning, machine learning, artificial neural networks, machine learning algorithms, algorithms, computer programming, mathematics, python programming, mathematical theory & analysis, tensorflow, human learning",4.9,(63K reviews),beginner,Specialization,3 - 6 Months,"improving deep neural networks: hyperparameter tuning, regularization and optimization applied machine learning, deep learning, machine learning, artificial neural networks, machine learning algorithms, algorithms, computer programming, mathematics, python programming, mathematical theory & analysis, tensorflow, human learning applied machine learning, deep learning, machine learning, artificial neural networks, machine learning algorithms, algorithms, computer programming, mathematics, python programming, mathematical theory & analysis, tensorflow, human learning applied machine learning, deep learning, machine learning, artificial neural networks, machine learning algorithms, algorithms, computer programming, mathematics, python programming, mathematical theory & analysis, tensorflow, human learning beginner Specialization deeplearning.ai 3 - 6 Months",improving deep neural network hyperparameter tuning regularization optimization applied machine learning deep learning machine learning artificial neural network machine learning algorithm algorithm computer programming mathematics python programming mathematical theory analysis tensorflow human learning applied machine learning deep learning machine learning artificial neural network machine learning algorithm algorithm computer programming mathematics python programming mathematical theory analysis tensorflow human learning applied machine learning deep learning machine learning artificial neural network machine learning algorithm algorithm computer programming mathematics python programming mathematical theory analysis tensorflow human learning beginner specialization deeplearning month,1,3
salesforce sales operations,salesforce,"sales, salesforce, customer relationship management, sales systems, account management, leadership and management, strategy and operations, business process management, customer success, marketing, operations management, strategy, b2b sales, data visualization software, databases, business analysis, data visualization",4.6,(1.2K reviews),intermediate,Professional Certificate,3 - 6 Months,"salesforce sales operations sales, salesforce, customer relationship management, sales systems, account management, leadership and management, strategy and operations, business process management, customer success, marketing, operations management, strategy, b2b sales, data visualization software, databases, business analysis, data visualization sales, salesforce, customer relationship management, sales systems, account management, leadership and management, strategy and operations, business process management, customer success, marketing, operations management, strategy, b2b sales, data visualization software, databases, business analysis, data visualization sales, salesforce, customer relationship management, sales systems, account management, leadership and management, strategy and operations, business process management, customer success, marketing, operations management, strategy, b2b sales, data visualization software, databases, business analysis, data visualization intermediate Professional Certificate salesforce 3 - 6 Months",salesforce sale operation sale salesforce customer relationship management sale system account management leadership management strategy operation business process management customer success marketing operation management strategy sale data visualization software database business analysis data visualization sale salesforce customer relationship management sale system account management leadership management strategy operation business process management customer success marketing operation management strategy sale data visualization software database business analysis data visualization sale salesforce customer relationship management sale system account management leadership management strategy operation business process management customer success marketing operation management strategy sale data visualization software database business analysis data visualization intermediate professional certificate salesforce month,2,2
python 3 programming,university of michigan,"python programming, computer programming, problem solving",4.7,(21K reviews),beginner,Professional Certificate,3 - 6 Months,"python 3 programming python programming, computer programming, problem solving python programming, computer programming, problem solving python programming, computer programming, problem solving beginner Professional Certificate university of michigan 3 - 6 Months",python programming python programming computer programming problem solving python programming computer programming problem solving python programming computer programming problem solving beginner professional certificate university michigan month,1,2
(isc)â² systems security certified practitioner (sscp),isc2,"security engineering, system security, network security, software security, computer security incident management, leadership and management, security software, risk management, strategy and operations, algorithms, cloud computing, cryptography, cyberattacks, operations management, human factors (security), software-defined networking, cloud applications, strategy, communication, financial accounting",4.7,(541 reviews),beginner,Specialization,3 - 6 Months,"(isc)â² systems security certified practitioner (sscp) security engineering, system security, network security, software security, computer security incident management, leadership and management, security software, risk management, strategy and operations, algorithms, cloud computing, cryptography, cyberattacks, operations management, human factors (security), software-defined networking, cloud applications, strategy, communication, financial accounting security engineering, system security, network security, software security, computer security incident management, leadership and management, security software, risk management, strategy and operations, algorithms, cloud computing, cryptography, cyberattacks, operations management, human factors (security), software-defined networking, cloud applications, strategy, communication, financial accounting security engineering, system security, network security, software security, computer security incident management, leadership and management, security software, risk management, strategy and operations, algorithms, cloud computing, cryptography, cyberattacks, operations management, human factors (security), software-defined networking, cloud applications, strategy, communication, financial accounting beginner Specialization isc2 3 - 6 Months",isc system security certified practitioner sscp security engineering system security network security software security computer security incident management leadership management security software risk management strategy operation algorithm cloud computing cryptography cyberattacks operation management human factor security software defined networking cloud application strategy communication financial accounting security engineering system security network security software security computer security incident management leadership management security software risk management strategy operation algorithm cloud computing cryptography cyberattacks operation management human factor security software defined networking cloud application strategy communication financial accounting security engineering system security network security software security computer security incident management leadership management security software risk management strategy operation algorithm cloud computing cryptography cyberattacks operation management human factor security software defined networking cloud application strategy communication financial accounting beginner specialization isc month,1,3
organizational analysis,stanford university,"leadership and management, organizational development, strategy, strategy and operations, decision making, business psychology, change management, culture, business analysis, people analysis",4.6,(1.4K reviews),beginner,Professional Certificate,3 - 6 Months,"organizational analysis leadership and management, organizational development, strategy, strategy and operations, decision making, business psychology, change management, culture, business analysis, people analysis leadership and management, organizational development, strategy, strategy and operations, decision making, business psychology, change management, culture, business analysis, people analysis leadership and management, organizational development, strategy, strategy and operations, decision making, business psychology, change management, culture, business analysis, people analysis beginner Professional Certificate stanford university 3 - 6 Months",organizational analysis leadership management organizational development strategy strategy operation decision making business psychology change management culture business analysis people analysis leadership management organizational development strategy strategy operation decision making business psychology change management culture business analysis people analysis leadership management organizational development strategy strategy operation decision making business psychology change management culture business analysis people analysis beginner professional certificate stanford university month,1,2
programming for everybody (getting started with python),university of michigan,"algorithms, computational logic, computational thinking, computer programming, computer programming tools, problem solving, programming principles, python programming, software engineering, theoretical computer science",4.8,(225K reviews),beginner,Course,1 - 4 Weeks,"programming for everybody (getting started with python) algorithms, computational logic, computational thinking, computer programming, computer programming tools, problem solving, programming principles, python programming, software engineering, theoretical computer science algorithms, computational logic, computational thinking, computer programming, computer programming tools, problem solving, programming principles, python programming, software engineering, theoretical computer science algorithms, computational logic, computational thinking, computer programming, computer programming tools, problem solving, programming principles, python programming, software engineering, theoretical computer science beginner Course university of michigan 1 - 4 Weeks",programming everybody getting started python algorithm computational logic computational thinking computer programming computer programming tool problem solving programming principle python programming software engineering theoretical computer science algorithm computational logic computational thinking computer programming computer programming tool problem solving programming principle python programming software engineering theoretical computer science algorithm computational logic computational thinking computer programming computer programming tool problem solving programming principle python programming software engineering theoretical computer science beginner course university michigan week,1,0
achieving personal and professional success,university of pennsylvania,"communication, human learning, professional development, critical thinking, leadership development, leadership and management, people analysis, decision making, emotional intelligence, people development, adaptability, planning, negotiation, influencing, innovation",4.7,(3.1K reviews),intermediate,Specialization,3 - 6 Months,"achieving personal and professional success communication, human learning, professional development, critical thinking, leadership development, leadership and management, people analysis, decision making, emotional intelligence, people development, adaptability, planning, negotiation, influencing, innovation communication, human learning, professional development, critical thinking, leadership development, leadership and management, people analysis, decision making, emotional intelligence, people development, adaptability, planning, negotiation, influencing, innovation communication, human learning, professional development, critical thinking, leadership development, leadership and management, people analysis, decision making, emotional intelligence, people development, adaptability, planning, negotiation, influencing, innovation intermediate Specialization university of pennsylvania 3 - 6 Months",achieving personal professional success communication human learning professional development critical thinking leadership development leadership management people analysis decision making emotional intelligence people development adaptability planning negotiation influencing innovation communication human learning professional development critical thinking leadership development leadership management people analysis decision making emotional intelligence people development adaptability planning negotiation influencing innovation communication human learning professional development critical thinking leadership development leadership management people analysis decision making emotional intelligence people development adaptability planning negotiation influencing innovation intermediate specialization university pennsylvania month,2,3
analyze data to answer questions,google,"data analysis, data management, microsoft excel, sql, spreadsheet software",4.6,(9.8K reviews),beginner,Specialization,3 - 6 Months,"analyze data to answer questions data analysis, data management, microsoft excel, sql, spreadsheet software data analysis, data management, microsoft excel, sql, spreadsheet software data analysis, data management, microsoft excel, sql, spreadsheet software beginner Specialization google 3 - 6 Months",analyze data answer question data analysis data management microsoft excel sql spreadsheet software data analysis data management microsoft excel sql spreadsheet software data analysis data management microsoft excel sql spreadsheet software beginner specialization google month,1,3
machine learning on google cloud,google cloud,"machine learning, applied machine learning, google cloud platform, human learning, machine learning software, cloud computing, machine learning algorithms, deep learning, cloud platforms, artificial neural networks, feature engineering, exploratory data analysis, tensorflow, python programming, data analysis, data visualization, probability & statistics, regression, statistical programming, statistical visualization, algorithms, sql, cloud api, apache, extract, transform, load",4.5,(9.6K reviews),beginner,Course,1 - 4 Weeks,"machine learning on google cloud machine learning, applied machine learning, google cloud platform, human learning, machine learning software, cloud computing, machine learning algorithms, deep learning, cloud platforms, artificial neural networks, feature engineering, exploratory data analysis, tensorflow, python programming, data analysis, data visualization, probability & statistics, regression, statistical programming, statistical visualization, algorithms, sql, cloud api, apache, extract, transform, load machine learning, applied machine learning, google cloud platform, human learning, machine learning software, cloud computing, machine learning algorithms, deep learning, cloud platforms, artificial neural networks, feature engineering, exploratory data analysis, tensorflow, python programming, data analysis, data visualization, probability & statistics, regression, statistical programming, statistical visualization, algorithms, sql, cloud api, apache, extract, transform, load machine learning, applied machine learning, google cloud platform, human learning, machine learning software, cloud computing, machine learning algorithms, deep learning, cloud platforms, artificial neural networks, feature engineering, exploratory data analysis, tensorflow, python programming, data analysis, data visualization, probability & statistics, regression, statistical programming, statistical visualization, algorithms, sql, cloud api, apache, extract, transform, load beginner Course google cloud 1 - 4 Weeks",machine learning google cloud machine learning applied machine learning google cloud platform human learning machine learning software cloud computing machine learning algorithm deep learning cloud platform artificial neural network feature engineering exploratory data analysis tensorflow python programming data analysis data visualization probability statistic regression statistical programming statistical visualization algorithm sql cloud api apache extract transform load machine learning applied machine learning google cloud platform human learning machine learning software cloud computing machine learning algorithm deep learning cloud platform artificial neural network feature engineering exploratory data analysis tensorflow python programming data analysis data visualization probability statistic regression statistical programming statistical visualization algorithm sql cloud api apache extract transform load machine learning applied machine learning google cloud platform human learning machine learning software cloud computing machine learning algorithm deep learning cloud platform artificial neural network feature engineering exploratory data analysis tensorflow python programming data analysis data visualization probability statistic regression statistical programming statistical visualization algorithm sql cloud api apache extract transform load beginner course google cloud week,1,0
successful negotiation: essential strategies and skills,university of michigan,"contract management, negotiation, communication, decision making, strategy",4.8,(19K reviews),beginner,Specialization,3 - 6 Months,"successful negotiation: essential strategies and skills contract management, negotiation, communication, decision making, strategy contract management, negotiation, communication, decision making, strategy contract management, negotiation, communication, decision making, strategy beginner Specialization university of michigan 3 - 6 Months",successful negotiation essential strategy skill contract management negotiation communication decision making strategy contract management negotiation communication decision making strategy contract management negotiation communication decision making strategy beginner specialization university michigan month,1,3
foundations of management,iese business school,"leadership and management, accounting, financial accounting, communication, customer analysis, design and product, human resources, market analysis, marketing, strategy and operations, finance, financial management, leadership development, marketing design, product marketing, strategy, employee relations, management accounting, market research, people development, people management, business psychology, collaboration, culture, financial analysis",4.8,(4.7K reviews),beginner,Specialization,3 - 6 Months,"foundations of management leadership and management, accounting, financial accounting, communication, customer analysis, design and product, human resources, market analysis, marketing, strategy and operations, finance, financial management, leadership development, marketing design, product marketing, strategy, employee relations, management accounting, market research, people development, people management, business psychology, collaboration, culture, financial analysis leadership and management, accounting, financial accounting, communication, customer analysis, design and product, human resources, market analysis, marketing, strategy and operations, finance, financial management, leadership development, marketing design, product marketing, strategy, employee relations, management accounting, market research, people development, people management, business psychology, collaboration, culture, financial analysis leadership and management, accounting, financial accounting, communication, customer analysis, design and product, human resources, market analysis, marketing, strategy and operations, finance, financial management, leadership development, marketing design, product marketing, strategy, employee relations, management accounting, market research, people development, people management, business psychology, collaboration, culture, financial analysis beginner Specialization iese business school 3 - 6 Months",foundation management leadership management accounting financial accounting communication customer analysis design product human resource market analysis marketing strategy operation finance financial management leadership development marketing design product marketing strategy employee relation management accounting market research people development people management business psychology collaboration culture financial analysis leadership management accounting financial accounting communication customer analysis design product human resource market analysis marketing strategy operation finance financial management leadership development marketing design product marketing strategy employee relation management accounting market research people development people management business psychology collaboration culture financial analysis leadership management accounting financial accounting communication customer analysis design product human resource market analysis marketing strategy operation finance financial management leadership development marketing design product marketing strategy employee relation management accounting market research people development people management business psychology collaboration culture financial analysis beginner specialization iese business school month,1,3
microsoft azure data engineering associate (dp-203),microsoft,"data management, microsoft azure, extract, transform, load, cloud computing, big data, data warehousing, cloud-based integration, cloud storage, data architecture, cloud engineering, cloud platforms, databases, sql, data analysis, data structures, distributed computing architecture, cloud management, warehouse management, leadership and management, continuous delivery, apache, continuous integration, operational analysis, accounting",4.4,(830 reviews),beginner,Specialization,3 - 6 Months,"microsoft azure data engineering associate (dp-203) data management, microsoft azure, extract, transform, load, cloud computing, big data, data warehousing, cloud-based integration, cloud storage, data architecture, cloud engineering, cloud platforms, databases, sql, data analysis, data structures, distributed computing architecture, cloud management, warehouse management, leadership and management, continuous delivery, apache, continuous integration, operational analysis, accounting data management, microsoft azure, extract, transform, load, cloud computing, big data, data warehousing, cloud-based integration, cloud storage, data architecture, cloud engineering, cloud platforms, databases, sql, data analysis, data structures, distributed computing architecture, cloud management, warehouse management, leadership and management, continuous delivery, apache, continuous integration, operational analysis, accounting data management, microsoft azure, extract, transform, load, cloud computing, big data, data warehousing, cloud-based integration, cloud storage, data architecture, cloud engineering, cloud platforms, databases, sql, data analysis, data structures, distributed computing architecture, cloud management, warehouse management, leadership and management, continuous delivery, apache, continuous integration, operational analysis, accounting beginner Specialization microsoft 3 - 6 Months",microsoft azure data engineering associate data management microsoft azure extract transform load cloud computing big data data warehousing cloud based integration cloud storage data architecture cloud engineering cloud platform database sql data analysis data structure distributed computing architecture cloud management warehouse management leadership management continuous delivery apache continuous integration operational analysis accounting data management microsoft azure extract transform load cloud computing big data data warehousing cloud based integration cloud storage data architecture cloud engineering cloud platform database sql data analysis data structure distributed computing architecture cloud management warehouse management leadership management continuous delivery apache continuous integration operational analysis accounting data management microsoft azure extract transform load cloud computing big data data warehousing cloud based integration cloud storage data architecture cloud engineering cloud platform database sql data analysis data structure distributed computing architecture cloud management warehouse management leadership management continuous delivery apache continuous integration operational analysis accounting beginner specialization microsoft month,1,3
uci project management,"university of california, irvine","leadership and management, strategy and operations, project management, planning",4.7,(278 reviews),beginner,Specialization,3 - 6 Months,"uci project management leadership and management, strategy and operations, project management, planning leadership and management, strategy and operations, project management, planning leadership and management, strategy and operations, project management, planning beginner Specialization university of california, irvine 3 - 6 Months",uci project management leadership management strategy operation project management planning leadership management strategy operation project management planning leadership management strategy operation project management planning beginner specialization university california irvine month,1,3
think like a cfo,iese business school,"finance, financial accounting, accounting, investment management, financial management, financial analysis, leadership and management, risk management, business analysis, corporate accouting, management accounting",4.8,(5.8K reviews),beginner,Course,1 - 4 Weeks,"think like a cfo finance, financial accounting, accounting, investment management, financial management, financial analysis, leadership and management, risk management, business analysis, corporate accouting, management accounting finance, financial accounting, accounting, investment management, financial management, financial analysis, leadership and management, risk management, business analysis, corporate accouting, management accounting finance, financial accounting, accounting, investment management, financial management, financial analysis, leadership and management, risk management, business analysis, corporate accouting, management accounting beginner Course iese business school 1 - 4 Weeks",think like cfo finance financial accounting accounting investment management financial management financial analysis leadership management risk management business analysis corporate accouting management accounting finance financial accounting accounting investment management financial management financial analysis leadership management risk management business analysis corporate accouting management accounting finance financial accounting accounting investment management financial management financial analysis leadership management risk management business analysis corporate accouting management accounting beginner course iese business school week,1,0
diseã±o de experiencia del usuario (ux) de google,google,"user experience, user experience design, research and design, visual design, communication, design and product, persona research, product design, user research, adaptability, graphic design, leadership and management, mobile development, creativity, planning, web design",4.8,(3.4K reviews),beginner,Course,1 - 3 Months,"diseã±o de experiencia del usuario (ux) de google user experience, user experience design, research and design, visual design, communication, design and product, persona research, product design, user research, adaptability, graphic design, leadership and management, mobile development, creativity, planning, web design user experience, user experience design, research and design, visual design, communication, design and product, persona research, product design, user research, adaptability, graphic design, leadership and management, mobile development, creativity, planning, web design user experience, user experience design, research and design, visual design, communication, design and product, persona research, product design, user research, adaptability, graphic design, leadership and management, mobile development, creativity, planning, web design beginner Course google 1 - 3 Months",dise experiencia del usuario google user experience user experience design research design visual design communication design product persona research product design user research adaptability graphic design leadership management mobile development creativity planning web design user experience user experience design research design visual design communication design product persona research product design user research adaptability graphic design leadership management mobile development creativity planning web design user experience user experience design research design visual design communication design product persona research product design user research adaptability graphic design leadership management mobile development creativity planning web design beginner course google month,1,0
okr certification: leadership and goal setting,measure what matters,"leadership and management, strategy, strategy and operations, business transformation, communication, organizational development, professional development, critical thinking, leadership development, performance management, planning",4.8,(341 reviews),beginner,Specialization,1 - 3 Months,"okr certification: leadership and goal setting leadership and management, strategy, strategy and operations, business transformation, communication, organizational development, professional development, critical thinking, leadership development, performance management, planning leadership and management, strategy, strategy and operations, business transformation, communication, organizational development, professional development, critical thinking, leadership development, performance management, planning leadership and management, strategy, strategy and operations, business transformation, communication, organizational development, professional development, critical thinking, leadership development, performance management, planning beginner Specialization measure what matters 1 - 3 Months",okr certification leadership goal setting leadership management strategy strategy operation business transformation communication organizational development professional development critical thinking leadership development performance management planning leadership management strategy strategy operation business transformation communication organizational development professional development critical thinking leadership development performance management planning leadership management strategy strategy operation business transformation communication organizational development professional development critical thinking leadership development performance management planning beginner specialization measure matter month,1,3
genomic data science,johns hopkins university,"bioinformatics, computer programming, data analysis, python programming, computational thinking, general statistics, exploratory data analysis, r programming, data analysis software, algorithms, computer programming tools, biostatistics, statistical analysis, programming principles, probability & statistics, statistical tests, data structures, operating systems, research and design, big data, computational logic, problem solving, statistical programming, experiment, correlation and dependence",4.5,(6.2K reviews),beginner,Specialization,3 - 6 Months,"genomic data science bioinformatics, computer programming, data analysis, python programming, computational thinking, general statistics, exploratory data analysis, r programming, data analysis software, algorithms, computer programming tools, biostatistics, statistical analysis, programming principles, probability & statistics, statistical tests, data structures, operating systems, research and design, big data, computational logic, problem solving, statistical programming, experiment, correlation and dependence bioinformatics, computer programming, data analysis, python programming, computational thinking, general statistics, exploratory data analysis, r programming, data analysis software, algorithms, computer programming tools, biostatistics, statistical analysis, programming principles, probability & statistics, statistical tests, data structures, operating systems, research and design, big data, computational logic, problem solving, statistical programming, experiment, correlation and dependence bioinformatics, computer programming, data analysis, python programming, computational thinking, general statistics, exploratory data analysis, r programming, data analysis software, algorithms, computer programming tools, biostatistics, statistical analysis, programming principles, probability & statistics, statistical tests, data structures, operating systems, research and design, big data, computational logic, problem solving, statistical programming, experiment, correlation and dependence beginner Specialization johns hopkins university 3 - 6 Months",genomic data science bioinformatics computer programming data analysis python programming computational thinking general statistic exploratory data analysis programming data analysis software algorithm computer programming tool biostatistics statistical analysis programming principle probability statistic statistical test data structure operating system research design big data computational logic problem solving statistical programming experiment correlation dependence bioinformatics computer programming data analysis python programming computational thinking general statistic exploratory data analysis programming data analysis software algorithm computer programming tool biostatistics statistical analysis programming principle probability statistic statistical test data structure operating system research design big data computational logic problem solving statistical programming experiment correlation dependence bioinformatics computer programming data analysis python programming computational thinking general statistic exploratory data analysis programming data analysis software algorithm computer programming tool biostatistics statistical analysis programming principle probability statistic statistical test data structure operating system research design big data computational logic problem solving statistical programming experiment correlation dependence beginner specialization john hopkins university month,1,3
human resource management: hr for people managers,university of minnesota,"human resources, human resources operations, employee relations, strategy and operations, people management, leadership and management, communication, strategy, compensation, people development, performance management, organizational development, planning, professional development, recruitment, business psychology, people analysis, visualization (computer graphics), benefits, business analysis, culture",4.8,(14K reviews),beginner,Specialization,3 - 6 Months,"human resource management: hr for people managers human resources, human resources operations, employee relations, strategy and operations, people management, leadership and management, communication, strategy, compensation, people development, performance management, organizational development, planning, professional development, recruitment, business psychology, people analysis, visualization (computer graphics), benefits, business analysis, culture human resources, human resources operations, employee relations, strategy and operations, people management, leadership and management, communication, strategy, compensation, people development, performance management, organizational development, planning, professional development, recruitment, business psychology, people analysis, visualization (computer graphics), benefits, business analysis, culture human resources, human resources operations, employee relations, strategy and operations, people management, leadership and management, communication, strategy, compensation, people development, performance management, organizational development, planning, professional development, recruitment, business psychology, people analysis, visualization (computer graphics), benefits, business analysis, culture beginner Specialization university of minnesota 3 - 6 Months",human resource management people manager human resource human resource operation employee relation strategy operation people management leadership management communication strategy compensation people development performance management organizational development planning professional development recruitment business psychology people analysis visualization computer graphic benefit business analysis culture human resource human resource operation employee relation strategy operation people management leadership management communication strategy compensation people development performance management organizational development planning professional development recruitment business psychology people analysis visualization computer graphic benefit business analysis culture human resource human resource operation employee relation strategy operation people management leadership management communication strategy compensation people development performance management organizational development planning professional development recruitment business psychology people analysis visualization computer graphic benefit business analysis culture beginner specialization university minnesota month,1,3
